Source: ACS 1-Year Estimates-Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Northeast Region, Midwest Region, South Region, West Region"
"Associate degree","73","22","51"
"Bachelor's degree","815","438","377"
"Master's degree","324","198","126"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Northeast Region -> Total Native Hawaiian and Other Pacific Islander alone -> Total 35-44","2929","1751","1178"
"No high school diploma","255","166","89"
"High school diploma","809","620","189"
"Some college","386","125","261"
"Associate degree","0","0","0"
"Bachelor's degree","845","348","497"
"Master's degree","634","492","142"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Northeast Region -> Total Native Hawaiian and Other Pacific Islander alone -> Total 45-54","2413","1323","1090"
"No high school diploma","319","206","113"
"High school diploma","629","510","119"
"Some college","816","556","260"
"Associate degree","235","51","184"
"Bachelor's degree","174","0","174"
"Master's degree","198","0","198"
"Professional degree","0","0","0"
"Doctorate","42","0","42"
" -> Total -> Total Northeast Region -> Total Native Hawaiian and Other Pacific Islander alone -> Total 55-64","1558","641","917"
"No high school diploma","395","59","336"
"High school diploma","31","31","0"
"Some college","378","133","245"
"Associate degree","451","165","286"
"Bachelor's degree","159","159","0"
"Master's degree","0","0","0"
"Professional degree","144","94","50"
"Doctorate","0","0","0"
" -> Total -> Total Northeast Region -> Total Some other race alone","3123102","1563182","1559920"
" -> Total -> Total Northeast Region -> Total Some other race alone -> Total 65+","238480","97943","140537"
"No high school diploma","134053","55087","78966"
"High school diploma","60922","26283","34639"
"Some college","16582","6430","10152"
"Associate degree","7455","2609","4846"
"Bachelor's degree","12654","5676","6978"
"Master's degree","4119","943","3176"
"Professional degree","1414","300","1114"
"Doctorate","1281","615","666"
" -> Total -> Total Northeast Region -> Total Some other race alone -> Total Under 18","848906","433888","415018"
"No high school diploma","843298","430785","412513"
"High school diploma","3698","1832","1866"
"Some college","1910","1271","639"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Northeast Region -> Total Some other race alone -> Total 18-24","331066","173521","157545"
"No high school diploma","57378","37052","20326"
"High school diploma","110623","64021","46602"
"Some college","122851","55746","67105"
"Associate degree","13234","5087","8147"
"Bachelor's degree","25895","11283","14612"
"Master's degree","1049","296","753"
"Professional degree","0","0","0"
"Doctorate","36","36","0"
" -> Total -> Total Northeast Region -> Total Some other race alone -> Total 25-34","537947","287070","250877"
"No high school diploma","103829","62089","41740"
"High school diploma","176668","99470","77198"
"Some college","105594","53795","51799"
"Associate degree","42370","21510","20860"
"Bachelor's degree","82631","38355","44276"
"Master's degree","20347","8245","12102"
"Professional degree","4668","2370","2298"
"Doctorate","1840","1236","604"
" -> Total -> Total Northeast Region -> Total Some other race alone -> Total 35-44","482978","244128","238850"
"No high school diploma","145365","78856","66509"
"High school diploma","148589","83571","65018"
"Some college","77309","35654","41655"
"Associate degree","31998","13143","18855"
"Bachelor's degree","54146","22831","31315"
"Master's degree","19907","8061","11846"
"Professional degree","3390","1128","2262"
"Doctorate","2274","884","1390"
" -> Total -> Total Northeast Region -> Total Some other race alone -> Total 45-54","400012","197167","202845"
"No high school diploma","127501","67749","59752"
"High school diploma","138341","71678","66663"
"Some college","59209","26563","32646"
"Associate degree","20825","8546","12279"
"Bachelor's degree","37040","15264","21776"
"Master's degree","13122","4964","8158"
"Professional degree","2476","1296","1180"
"Doctorate","1498","1107","391"
" -> Total -> Total Northeast Region -> Total Some other race alone -> Total 55-64","283713","129465","154248"
"No high school diploma","105066","46488","58578"
"High school diploma","98579","46819","51760"
"Some college","33502","15715","17787"
"Associate degree","13613","4947","8666"
"Bachelor's degree","21539","8966","12573"
"Master's degree","7709","3830","3879"
"Professional degree","2763","1942","821"
"Doctorate","942","758","184"
" -> Total -> Total Northeast Region -> Total Two or More Races","1746254","858145","888109"
" -> Total -> Total Northeast Region -> Total Two or More Races -> Total 65+","100228","42016","58212"
"No high school diploma","28668","10748","17920"
"High school diploma","24269","9841","14428"
"Some college","17414","7741","9673"
"Associate degree","4688","1900","2788"
"Bachelor's degree","13615","6094","7521"
"Master's degree","7176","3267","3909"
"Professional degree","2893","1760","1133"
"Doctorate","1505","665","840"
" -> Total -> Total Northeast Region -> Total Two or More Races -> Total Under 18","740176","370498","369678"
"No high school diploma","737279","370265","367014"
"High school diploma","2635","233","2402"
"Some college","262","0","262"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Northeast Region -> Total Two or More Races -> Total 18-24","205859","101804","104055"
"No high school diploma","22675","12803","9872"
"High school diploma","62593","33889","28704"
"Some college","82710","40418","42292"
"Associate degree","11128","4178","6950"
"Bachelor's degree","24943","9692","15251"
"Master's degree","1636","650","986"
"Professional degree","174","174","0"
"Doctorate","0","0","0"
" -> Total -> Total Northeast Region -> Total Two or More Races -> Total 25-34","268817","136965","131852"
"No high school diploma","24103","13755","10348"
"High school diploma","57501","35092","22409"
"Some college","53934","29973","23961"
"Associate degree","19791","9256","10535"
"Bachelor's degree","75379","33629","41750"
"Master's degree","29734","10658","19076"
"Professional degree","5811","3029","2782"
"Doctorate","2564","1573","991"
" -> Total -> Total Northeast Region -> Total Two or More Races -> Total 35-44","182107","91363","90744"
"No high school diploma","20403","12258","8145"
"High school diploma","42240","24193","18047"
"Some college","34991","17344","17647"
"Associate degree","17669","6439","11230"
"Bachelor's degree","34881","15753","19128"
"Master's degree","22404","9631","12773"
"Professional degree","5362","2927","2435"
"Doctorate","4157","2818","1339"
" -> Total -> Total Northeast Region -> Total Two or More Races -> Total 45-54","139684","67113","72571"
"No high school diploma","22912","12412","10500"
"High school diploma","37348","19642","17706"
"Some college","20744","9190","11554"
"Associate degree","13287","5462","7825"
"Bachelor's degree","24130","11400","12730"
"Master's degree","14571","6168","8403"
"Professional degree","4301","1637","2664"
"Doctorate","2391","1202","1189"
" -> Total -> Total Northeast Region -> Total Two or More Races -> Total 55-64","109383","48386","60997"
"No high school diploma","20639","9561","11078"
