Source: ACS 1-Year Estimates-Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Northeast Region, Midwest Region, South Region, West Region"
"Associate degree","0","0","0"
"Bachelor's degree","160","0","160"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total South Region -> Total Alaska Native alone -> Total 35-44","798","319","479"
"No high school diploma","31","31","0"
"High school diploma","78","0","78"
"Some college","318","76","242"
"Associate degree","179","20","159"
"Bachelor's degree","192","192","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total South Region -> Total Alaska Native alone -> Total 45-54","546","515","31"
"No high school diploma","0","0","0"
"High school diploma","215","184","31"
"Some college","275","275","0"
"Associate degree","0","0","0"
"Bachelor's degree","56","56","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total South Region -> Total Alaska Native alone -> Total 55-64","521","273","248"
"No high school diploma","89","89","0"
"High school diploma","281","49","232"
"Some college","151","135","16"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total South Region -> Total American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","152061","80788","71273"
" -> Total -> Total South Region -> Total American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races -> Total 65+","18421","8794","9627"
"No high school diploma","4790","1734","3056"
"High school diploma","5865","2733","3132"
"Some college","2985","1522","1463"
"Associate degree","1861","1014","847"
"Bachelor's degree","1834","1167","667"
"Master's degree","664","317","347"
"Professional degree","319","204","115"
"Doctorate","103","103","0"
" -> Total -> Total South Region -> Total American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races -> Total Under 18","31615","17344","14271"
"No high school diploma","30763","16492","14271"
"High school diploma","852","852","0"
"Some college","0","0","0"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total South Region -> Total American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races -> Total 18-24","20705","10277","10428"
"No high school diploma","4918","2712","2206"
"High school diploma","6266","3209","3057"
"Some college","7969","3875","4094"
"Associate degree","719","277","442"
"Bachelor's degree","833","204","629"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total South Region -> Total American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races -> Total 25-34","19225","10925","8300"
"No high school diploma","3493","1809","1684"
"High school diploma","7104","4649","2455"
"Some college","4141","2784","1357"
"Associate degree","1106","224","882"
"Bachelor's degree","2049","679","1370"
"Master's degree","881","475","406"
"Professional degree","451","305","146"
"Doctorate","0","0","0"
" -> Total -> Total South Region -> Total American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races -> Total 35-44","19732","10367","9365"
"No high school diploma","5738","3270","2468"
"High school diploma","4991","3052","1939"
"Some college","3297","1712","1585"
"Associate degree","2772","1142","1630"
"Bachelor's degree","1702","615","1087"
"Master's degree","1044","576","468"
"Professional degree","188","0","188"
"Doctorate","0","0","0"
" -> Total -> Total South Region -> Total American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races -> Total 45-54","23008","13795","9213"
"No high school diploma","5976","3719","2257"
"High school diploma","5403","3008","2395"
"Some college","3967","1969","1998"
"Associate degree","2011","1353","658"
"Bachelor's degree","2888","1693","1195"
"Master's degree","2343","2053","290"
"Professional degree","420","0","420"
"Doctorate","0","0","0"
" -> Total -> Total South Region -> Total American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races -> Total 55-64","19355","9286","10069"
"No high school diploma","6060","2956","3104"
"High school diploma","6296","3247","3049"
"Some college","3596","1462","2134"
"Associate degree","1437","651","786"
"Bachelor's degree","1569","774","795"
"Master's degree","232","196","36"
"Professional degree","165","0","165"
"Doctorate","0","0","0"
" -> Total -> Total South Region -> Total Asian alone","4405039","2075278","2329761"
" -> Total -> Total South Region -> Total Asian alone -> Total 65+","498835","209784","289051"
"No high school diploma","122447","37124","85323"
"High school diploma","103397","37147","66250"
"Some college","47621","19967","27654"
"Associate degree","28205","11116","17089"
"Bachelor's degree","102427","48279","54148"
"Master's degree","50646","28867","21779"
"Professional degree","25705","13604","12101"
"Doctorate","18387","13680","4707"
" -> Total -> Total South Region -> Total Asian alone -> Total Under 18","903304","450927","452377"
"No high school diploma","897889","447517","450372"
"High school diploma","3713","2365","1348"
"Some college","1420","859","561"
"Associate degree","282","186","96"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total South Region -> Total Asian alone -> Total 18-24","395868","198507","197361"
"No high school diploma","27806","14290","13516"
"High school diploma","93533","50336","43197"
"Some college","155616","81513","74103"
"Associate degree","25592","10161","15431"
"Bachelor's degree","81354","36635","44719"
"Master's degree","10455","4913","5542"
"Professional degree","1130","479","651"
"Doctorate","382","180","202"
" -> Total -> Total South Region -> Total Asian alone -> Total 25-34","733474","350031","383443"
"No high school diploma","38074","18151","19923"
"High school diploma","63984","27467","36517"
"Some college","77246","41596","35650"
"Associate degree","45760","22226","23534"
"Bachelor's degree","267745","122228","145517"
"Master's degree","174011","84617","89394"
"Professional degree","35482","15820","19662"
"Doctorate","31172","17926","13246"
" -> Total -> Total South Region -> Total Asian alone -> Total 35-44","762481","357586","404895"
"No high school diploma","52038","22642","29396"
"High school diploma","77694","35429","42265"
"Some college","70426","30846","39580"
"Associate degree","40515","16269","24246"
"Bachelor's degree","241768","107997","133771"
"Master's degree","199028","101035","97993"
"Professional degree","40935","20477","20458"
"Doctorate","40077","22891","17186"
" -> Total -> Total South Region -> Total Asian alone -> Total 45-54","647188","299770","347418"
"No high school diploma","71641","29704","41937"
"High school diploma","99749","40684","59065"
"Some college","71243","31717","39526"
"Associate degree","41838","17258","24580"
"Bachelor's degree","188281","84770","103511"
"Master's degree","112072","60927","51145"
"Professional degree","27797","15234","12563"
"Doctorate","34567","19476","15091"
" -> Total -> Total South Region -> Total Asian alone -> Total 55-64","463889","208673","255216"
"No high school diploma","72569","30671","41898"
"High school diploma","95364","38566","56798"
"Some college","47480","22593","24887"
"Associate degree","29331","12793","16538"
"Bachelor's degree","118861","46246","72615"
"Master's degree","58822","31071","27751"
"Professional degree","17143","10047","7096"
"Doctorate","24319","16686","7633"
" -> Total -> Total South Region -> Total Native Hawaiian and Other Pacific Islander alone","96502","45287","51215"
" -> Total -> Total South Region -> Total Native Hawaiian and Other Pacific Islander alone -> Total 65+","6476","3130","3346"
"No high school diploma","919","415","504"
"High school diploma","2513","1059","1454"
"Some college","1047","657","390"
"Associate degree","242","137","105"
"Bachelor's degree","1248","755","493"
"Master's degree","450","50","400"
"Professional degree","57","57","0"
"Doctorate","0","0","0"
" -> Total -> Total South Region -> Total Native Hawaiian and Other Pacific Islander alone -> Total Under 18","27212","11854","15358"
"No high school diploma","27212","11854","15358"
"High school diploma","0","0","0"
"Some college","0","0","0"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total South Region -> Total Native Hawaiian and Other Pacific Islander alone -> Total 18-24","14204","7463","6741"
"No high school diploma","2582","1165","1417"
"High school diploma","4912","3223","1689"
"Some college","5033","2514","2519"
"Associate degree","436","371","65"
"Bachelor's degree","1167","190","977"
"Master's degree","74","0","74"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total South Region -> Total Native Hawaiian and Other Pacific Islander alone -> Total 25-34","15518","8488","7030"
"No high school diploma","2014","1297","717"
"High school diploma","4090","2504","1586"
"Some college","4760","2682","2078"
"Associate degree","956","361","595"
"Bachelor's degree","2643","1318","1325"
"Master's degree","407","0","407"
"Professional degree","594","326","268"
"Doctorate","54","0","54"
" -> Total -> Total South Region -> Total Native Hawaiian and Other Pacific Islander alone -> Total 35-44","15200","7289","7911"
"No high school diploma","2562","1454","1108"
"High school diploma","3801","1674","2127"
"Some college","3663","1686","1977"
"Associate degree","1125","311","814"
"Bachelor's degree","2869","1503","1366"
"Master's degree","1106","587","519"
"Professional degree","0","0","0"
"Doctorate","74","74","0"
" -> Total -> Total South Region -> Total Native Hawaiian and Other Pacific Islander alone -> Total 45-54","10518","3893","6625"
"No high school diploma","1235","532","703"
"High school diploma","3050","508","2542"
"Some college","2733","1184","1549"
"Associate degree","1040","793","247"
"Bachelor's degree","1445","450","995"
"Master's degree","777","374","403"
"Professional degree","238","52","186"
"Doctorate","0","0","0"
" -> Total -> Total South Region -> Total Native Hawaiian and Other Pacific Islander alone -> Total 55-64","7374","3170","4204"
"No high school diploma","1159","523","636"
"High school diploma","2774","1326","1448"
"Some college","733","391","342"
"Associate degree","453","299","154"
"Bachelor's degree","1220","502","718"
"Master's degree","1005","129","876"
"Professional degree","30","0","30"
"Doctorate","0","0","0"
" -> Total -> Total South Region -> Total Some other race alone","4318716","2242095","2076621"
" -> Total -> Total South Region -> Total Some other race alone -> Total 65+","237565","103301","134264"
"No high school diploma","113081","47590","65491"
"High school diploma","56558","24261","32297"
"Some college","29654","12843","16811"
"Associate degree","11138","4693","6445"
"Bachelor's degree","16405","7998","8407"
"Master's degree","6212","3606","2606"
"Professional degree","2497","1495","1002"
"Doctorate","2020","815","1205"
" -> Total -> Total South Region -> Total Some other race alone -> Total Under 18","1326380","690018","636362"
"No high school diploma","1319266","686995","632271"
"High school diploma","5081","2286","2795"
"Some college","2033","737","1296"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total South Region -> Total Some other race alone -> Total 18-24","468212","250402","217810"
"No high school diploma","100386","63282","37104"
"High school diploma","177011","102496","74515"
"Some college","138212","63778","74434"
"Associate degree","26920","11362","15558"
"Bachelor's degree","24101","8434","15667"
"Master's degree","712","494","218"
"Professional degree","361","361","0"
"Doctorate","509","195","314"
" -> Total -> Total South Region -> Total Some other race alone -> Total 25-34","696828","368082","328746"
"No high school diploma","193747","108110","85637"
"High school diploma","215849","122862","92987"
"Some college","127013","66471","60542"
"Associate degree","44887","19684","25203"
"Bachelor's degree","89251","40753","48498"
"Master's degree","18714","6918","11796"
"Professional degree","5745","2210","3535"
"Doctorate","1622","1074","548"
" -> Total -> Total South Region -> Total Some other race alone -> Total 35-44","723199","389540","333659"
"No high school diploma","286623","162397","124226"
"High school diploma","199896","113223","86673"
"Some college","96806","48446","48360"
"Associate degree","36058","15945","20113"
"Bachelor's degree","69311","32992","36319"
"Master's degree","24623","10778","13845"
"Professional degree","5459","2938","2521"
"Doctorate","4423","2821","1602"
" -> Total -> Total South Region -> Total Some other race alone -> Total 45-54","529155","271785","257370"
"No high school diploma","209204","120433","88771"
"High school diploma","140402","69949","70453"
"Some college","73056","37026","36030"
"Associate degree","39344","17012","22332"
"Bachelor's degree","45130","18237","26893"
"Master's degree","15925","6305","9620"
"Professional degree","4530","1958","2572"
"Doctorate","1564","865","699"
" -> Total -> Total South Region -> Total Some other race alone -> Total 55-64","337377","168967","168410"
"No high school diploma","134182","68234","65948"
"High school diploma","93693","48894","44799"
"Some college","44203","20868","23335"
"Associate degree","21527","8023","13504"
"Bachelor's degree","29535","15021","14514"
"Master's degree","9408","5349","4059"
"Professional degree","3336","1532","1804"
"Doctorate","1493","1046","447"
" -> Total -> Total South Region -> Total Two or More Races","3664220","1822042","1842178"
" -> Total -> Total South Region -> Total Two or More Races -> Total 65+","198573","83882","114691"
"No high school diploma","40611","15322","25289"
"High school diploma","49350","20136","29214"
"Some college","44628","19240","25388"
"Associate degree","13569","5436","8133"
"Bachelor's degree","28114","12993","15121"
"Master's degree","15342","6418","8924"
"Professional degree","3777","2463","1314"
"Doctorate","3182","1874","1308"
" -> Total -> Total South Region -> Total Two or More Races -> Total Under 18","1691822","865542","826280"
"No high school diploma","1685985","863306","822679"
"High school diploma","4393","1931","2462"
"Some college","1444","305","1139"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total South Region -> Total Two or More Races -> Total 18-24","450471","228212","222259"
"No high school diploma","62484","37671","24813"
"High school diploma","155137","88374","66763"
"Some college","162905","75759","87146"
"Associate degree","26476","9174","17302"
"Bachelor's degree","40298","16173","24125"
"Master's degree","2287","627","1660"
"Professional degree","541","225","316"
"Doctorate","343","209","134"
" -> Total -> Total South Region -> Total Two or More Races -> Total 25-34","482857","240150","242707"
"No high school diploma","37034","20810","16224"
"High school diploma","107663","62396","45267"
"Some college","121110","61933","59177"
"Associate degree","46679","20032","26647"
"Bachelor's degree","120135","53103","67032"
"Master's degree","33749","13904","19845"
"Professional degree","10913","5436","5477"
"Doctorate","5574","2536","3038"
" -> Total -> Total South Region -> Total Two or More Races -> Total 35-44","368299","182320","185979"
"No high school diploma","38888","22277","16611"
"High school diploma","73716","43301","30415"
"Some college","83426","41684","41742"
"Associate degree","40210","18449","21761"
"Bachelor's degree","77326","34335","42991"
"Master's degree","40098","14680","25418"
"Professional degree","8830","3828","5002"
"Doctorate","5805","3766","2039"
" -> Total -> Total South Region -> Total Two or More Races -> Total 45-54","260714","121651","139063"
"No high school diploma","28440","14352","14088"
"High school diploma","55414","29043","26371"
"Some college","55762","26397","29365"
"Associate degree","31102","11719","19383"
"Bachelor's degree","54669","23300","31369"
"Master's degree","24371","12107","12264"
"Professional degree","6495","2945","3550"
"Doctorate","4461","1788","2673"
" -> Total -> Total South Region -> Total Two or More Races -> Total 55-64","211484","100285","111199"
"No high school diploma","27950","15028","12922"
"High school diploma","50493","24213","26280"
"Some college","52007","26413","25594"
"Associate degree","20644","8107","12537"
"Bachelor's degree","35099","15042","20057"
"Master's degree","16579","7306","9273"
"Professional degree","5256","2342","2914"
"Doctorate","3456","1834","1622"
" -> Total -> Total West Region","78347268","39081581","39265687"
" -> Total -> Total West Region -> Total White alone","53417838","26741072","26676766"
" -> Total -> Total West Region -> Total White alone -> Total 65+","9516217","4376524","5139693"
"No high school diploma","1001967","425971","575996"
"High school diploma","2205430","869338","1336092"
"Some college","2308388","1017203","1291185"
"Associate degree","779756","358334","421422"
"Bachelor's degree","1765913","891294","874619"
"Master's degree","959467","477834","481633"
"Professional degree","290062","196579","93483"
"Doctorate","205234","139971","65263"
" -> Total -> Total West Region -> Total White alone -> Total Under 18","11322118","5812836","5509282"
"No high school diploma","11256235","5783279","5472956"
"High school diploma","46855","21212","25643"
"Some college","18260","8027","10233"
"Associate degree","768","318","450"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total West Region -> Total White alone -> Total 18-24","4635631","2401273","2234358"
"No high school diploma","523134","303903","219231"
"High school diploma","1536324","869354","666970"
"Some college","1800796","893938","906858"
"Associate degree","283572","127254","156318"
"Bachelor's degree","461611","195426","266185"
"Master's degree","25882","10250","15632"
"Professional degree","3424","995","2429"
"Doctorate","888","153","735"
" -> Total -> Total West Region -> Total White alone -> Total 25-34","7517775","3887737","3630038"
"No high school diploma","586699","333862","252837"
"High school diploma","1737681","1032444","705237"
"Some college","1795498","941043","854455"
"Associate degree","661427","311362","350065"
"Bachelor's degree","2027035","968415","1058620"
"Master's degree","520122","209916","310206"
"Professional degree","110487","51809","58678"
"Doctorate","78826","38886","39940"
" -> Total -> Total West Region -> Total White alone -> Total 35-44","6930338","3540887","3389451"
"No high school diploma","765612","421107","344505"
"High school diploma","1412024","808772","603252"
"Some college","1451194","741034","710160"
"Associate degree","651029","309308","341721"
"Bachelor's degree","1642157","795547","846610"
"Master's degree","718792","313176","405616"
"Professional degree","160930","84120","76810"
"Doctorate","128600","67823","60777"
" -> Total -> Total West Region -> Total White alone -> Total 45-54","6499014","3296809","3202205"
"No high school diploma","795005","422825","372180"
"High school diploma","1343835","744827","599008"
"Some college","1401230","699422","701808"
"Associate degree","589623","277680","311943"
"Bachelor's degree","1444680","708594","736086"
"Master's degree","657461","301193","356268"
"Professional degree","166486","86590","79896"
"Doctorate","100694","55678","45016"
" -> Total -> Total West Region -> Total White alone -> Total 55-64","6996745","3425006","3571739"
"No high school diploma","735445","387230","348215"
"High school diploma","1619653","824680","794973"
"Some college","1705501","795783","909718"
"Associate degree","674013","283460","390553"
"Bachelor's degree","1379782","685540","694242"
"Master's degree","594341","279151","315190"
"Professional degree","174455","101581","72874"
"Doctorate","113555","67581","45974"
" -> Total -> Total West Region -> Total Black or African American alone","3712133","1881142","1830991"
" -> Total -> Total West Region -> Total Black or African American alone -> Total 65+","438329","194871","243458"
"No high school diploma","56491","23817","32674"
"High school diploma","113288","44218","69070"
"Some college","126864","58425","68439"
"Associate degree","41054","20640","20414"
"Bachelor's degree","54465","26681","27784"
"Master's degree","35477","15328","20149"
"Professional degree","5222","3072","2150"
"Doctorate","5468","2690","2778"
" -> Total -> Total West Region -> Total Black or African American alone -> Total Under 18","828899","418667","410232"
"No high school diploma","823910","415844","408066"
"High school diploma","2772","1795","977"
"Some college","2217","1028","1189"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total West Region -> Total Black or African American alone -> Total 18-24","401960","213733","188227"
"No high school diploma","51276","31567","19709"
"High school diploma","131271","75140","56131"
"Some college","163157","83499","79658"
"Associate degree","22672","10209","12463"
"Bachelor's degree","31383","12403","18980"
"Master's degree","2132","915","1217"
"Professional degree","0","0","0"
"Doctorate","69","0","69"
" -> Total -> Total West Region -> Total Black or African American alone -> Total 25-34","631941","336594","295347"
"No high school diploma","47953","28095","19858"
"High school diploma","164469","96658","67811"
"Some college","196744","103048","93696"
"Associate degree","56960","30212","26748"
"Bachelor's degree","126326","60699","65627"
"Master's degree","30913","12970","17943"
"Professional degree","5524","3195","2329"
"Doctorate","3052","1717","1335"
" -> Total -> Total West Region -> Total Black or African American alone -> Total 35-44","499792","261529","238263"
"No high school diploma","42569","24862","17707"
"High school diploma","123850","73072","50778"
"Some college","129731","68932","60799"
"Associate degree","52632","22423","30209"
"Bachelor's degree","93402","48215","45187"
"Master's degree","46594","19191","27403"
"Professional degree","6898","2692","4206"
"Doctorate","4116","2142","1974"
" -> Total -> Total West Region -> Total Black or African American alone -> Total 45-54","461008","234288","226720"
"No high school diploma","43407","24511","18896"
"High school diploma","103352","58468","44884"
"Some college","130412","62326","68086"
"Associate degree","51748","25879","25869"
"Bachelor's degree","79122","37840","41282"
"Master's degree","39605","17171","22434"
"Professional degree","7067","4343","2724"
"Doctorate","6295","3750","2545"
" -> Total -> Total West Region -> Total Black or African American alone -> Total 55-64","450204","221460","228744"
"No high school diploma","41561","22375","19186"
"High school diploma","114836","63283","51553"
"Some college","139395","68733","70662"
"Associate degree","47552","19222","28330"
"Bachelor's degree","67066","28992","38074"
"Master's degree","29413","14219","15194"
"Professional degree","5252","2128","3124"
"Doctorate","5129","2508","2621"
" -> Total -> Total West Region -> Total American Indian alone","1067573","522812","544761"
" -> Total -> Total West Region -> Total American Indian alone -> Total 65+","119703","50423","69280"
"No high school diploma","33470","13739","19731"
"High school diploma","33001","12711","20290"
"Some college","26357","11425","14932"
"Associate degree","8644","3838","4806"
"Bachelor's degree","9655","4100","5555"
"Master's degree","5130","2895","2235"
"Professional degree","1821","654","1167"
"Doctorate","1625","1061","564"
" -> Total -> Total West Region -> Total American Indian alone -> Total Under 18","291015","145382","145633"
"No high school diploma","289974","144687","145287"
"High school diploma","521","266","255"
"Some college","520","429","91"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total West Region -> Total American Indian alone -> Total 18-24","104690","56209","48481"
"No high school diploma","22116","12474","9642"
"High school diploma","39736","23061","16675"
"Some college","32486","15073","17413"
"Associate degree","6961","3981","2980"
"Bachelor's degree","3369","1598","1771"
"Master's degree","0","0","0"
"Professional degree","22","22","0"
"Doctorate","0","0","0"
" -> Total -> Total West Region -> Total American Indian alone -> Total 25-34","168575","85313","83262"
"No high school diploma","25844","14804","11040"
"High school diploma","55523","30445","25078"
"Some college","51507","26675","24832"
"Associate degree","14289","4576","9713"
"Bachelor's degree","17699","7235","10464"
"Master's degree","2747","1436","1311"
"Professional degree","655","135","520"
"Doctorate","311","7","304"
" -> Total -> Total West Region -> Total American Indian alone -> Total 35-44","141506","72893","68613"
"No high school diploma","22084","11519","10565"
"High school diploma","43570","26644","16926"
"Some college","34173","17215","16958"
"Associate degree","16554","7967","8587"
"Bachelor's degree","16768","6911","9857"
"Master's degree","6985","2187","4798"
"Professional degree","388","216","172"
"Doctorate","984","234","750"
" -> Total -> Total West Region -> Total American Indian alone -> Total 45-54","122825","58418","64407"
"No high school diploma","18246","9716","8530"
"High school diploma","37030","18746","18284"
"Some college","34767","15926","18841"
"Associate degree","13498","5938","7560"
"Bachelor's degree","11389","5664","5725"
"Master's degree","5961","1503","4458"
"Professional degree","960","584","376"
"Doctorate","974","341","633"
" -> Total -> Total West Region -> Total American Indian alone -> Total 55-64","119259","54174","65085"
"No high school diploma","20951","10956","9995"
"High school diploma","39836","18355","21481"
"Some college","34891","14950","19941"
"Associate degree","9842","3437","6405"
"Bachelor's degree","8566","3915","4651"
"Master's degree","3914","1757","2157"
"Professional degree","496","324","172"
"Doctorate","763","480","283"
" -> Total -> Total West Region -> Total Alaska Native alone","105993","54216","51777"
" -> Total -> Total West Region -> Total Alaska Native alone -> Total 65+","10785","4389","6396"
"No high school diploma","1876","543","1333"
"High school diploma","4515","1924","2591"
"Some college","2031","980","1051"
"Associate degree","619","63","556"
"Bachelor's degree","721","211","510"
"Master's degree","547","192","355"
"Professional degree","476","476","0"
"Doctorate","0","0","0"
" -> Total -> Total West Region -> Total Alaska Native alone -> Total Under 18","32115","18292","13823"
"No high school diploma","32021","18198","13823"
"High school diploma","26","26","0"
"Some college","68","68","0"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total West Region -> Total Alaska Native alone -> Total 18-24","11774","6841","4933"
"No high school diploma","2749","1999","750"
"High school diploma","3857","1816","2041"
"Some college","4983","3026","1957"
"Associate degree","59","0","59"
"Bachelor's degree","126","0","126"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total West Region -> Total Alaska Native alone -> Total 25-34","17356","9335","8021"
"No high school diploma","3234","1828","1406"
"High school diploma","9489","5531","3958"
"Some college","3271","1660","1611"
"Associate degree","426","0","426"
"Bachelor's degree","692","178","514"
"Master's degree","244","138","106"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total West Region -> Total Alaska Native alone -> Total 35-44","12800","5415","7385"
"No high school diploma","749","474","275"
"High school diploma","5875","2983","2892"
"Some college","4257","1149","3108"
"Associate degree","1069","809","260"
"Bachelor's degree","391","0","391"
"Master's degree","271","0","271"
"Professional degree","0","0","0"
"Doctorate","188","0","188"
" -> Total -> Total West Region -> Total Alaska Native alone -> Total 45-54","9146","4487","4659"
"No high school diploma","836","475","361"
"High school diploma","4183","2458","1725"
"Some college","3018","1169","1849"
"Associate degree","389","132","257"
"Bachelor's degree","463","201","262"
"Master's degree","257","52","205"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total West Region -> Total Alaska Native alone -> Total 55-64","12017","5457","6560"
"No high school diploma","1599","470","1129"
"High school diploma","5504","3440","2064"
"Some college","3482","1152","2330"
"Associate degree","363","206","157"
"Bachelor's degree","629","118","511"
"Master's degree","282","18","264"
"Professional degree","158","53","105"
"Doctorate","0","0","0"
" -> Total -> Total West Region -> Total American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","191046","97320","93726"
" -> Total -> Total West Region -> Total American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races -> Total 65+","22502","10416","12086"
"No high school diploma","5204","1766","3438"
"High school diploma","6919","3233","3686"
"Some college","5038","1786","3252"
"Associate degree","1542","798","744"
"Bachelor's degree","2236","1398","838"
"Master's degree","948","820","128"
"Professional degree","579","579","0"
"Doctorate","36","36","0"
" -> Total -> Total West Region -> Total American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races -> Total Under 18","43131","20766","22365"
"No high school diploma","42711","20766","21945"
"High school diploma","361","0","361"
"Some college","59","0","59"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total West Region -> Total American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races -> Total 18-24","22067","10572","11495"
"No high school diploma","2392","1774","618"
"High school diploma","8695","4031","4664"
"Some college","8816","3942","4874"
"Associate degree","934","583","351"
"Bachelor's degree","1230","242","988"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total West Region -> Total American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races -> Total 25-34","30538","17302","13236"
"No high school diploma","4750","3413","1337"
"High school diploma","11718","7146","4572"
"Some college","8606","5258","3348"
"Associate degree","1668","682","986"
"Bachelor's degree","2950","668","2282"
"Master's degree","770","135","635"
"Professional degree","76","0","76"
"Doctorate","0","0","0"
" -> Total -> Total West Region -> Total American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races -> Total 35-44","24925","14367","10558"
"No high school diploma","5545","3546","1999"
"High school diploma","7926","5019","2907"
"Some college","5728","2724","3004"
"Associate degree","1035","724","311"
"Bachelor's degree","3274","1641","1633"
"Master's degree","1206","618","588"
"Professional degree","0","0","0"
"Doctorate","211","95","116"
" -> Total -> Total West Region -> Total American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races -> Total 45-54","23146","11987","11159"
"No high school diploma","6247","3430","2817"
"High school diploma","6891","3656","3235"
"Some college","6152","3785","2367"
"Associate degree","1230","239","991"
"Bachelor's degree","2022","624","1398"
"Master's degree","498","147","351"
"Professional degree","0","0","0"
"Doctorate","106","106","0"
" -> Total -> Total West Region -> Total American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races -> Total 55-64","24737","11910","12827"
"No high school diploma","8062","4489","3573"
"High school diploma","7882","4635","3247"
"Some college","5188","1462","3726"
"Associate degree","1238","759","479"
"Bachelor's degree","1803","524","1279"
"Master's degree","138","41","97"
"Professional degree","338","0","338"
"Doctorate","88","0","88"
" -> Total -> Total West Region -> Total Asian alone","8184534","3851240","4333294"
" -> Total -> Total West Region -> Total Asian alone -> Total 65+","1313569","547376","766193"
"No high school diploma","306106","100042","206064"
"High school diploma","259972","96338","163634"
"Some college","172206","79553","92653"
"Associate degree","93980","36536","57444"
"Bachelor's degree","330261","148033","182228"
"Master's degree","90548","48582","41966"
"Professional degree","34543","19619","14924"
"Doctorate","25953","18673","7280"
" -> Total -> Total West Region -> Total Asian alone -> Total Under 18","1405613","718780","686833"
"No high school diploma","1393767","712808","680959"
"High school diploma","7942","3874","4068"
"Some college","3755","1949","1806"
"Associate degree","149","149","0"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total West Region -> Total Asian alone -> Total 18-24","690482","359112","331370"
